ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
NGA,Northeast - 1990,4803452,BCG vaccination received,41.2,1,NG,Nigeria,1990,NG1990DHS,CH_VACC_C_BCG,93906010,I,433001,1433001,Region,Northeast - 1990,0,,0,1,CHVACCCBCG,NGDHS1990433001,1990,DHS,359,362,,,1
NGA,Northwest - 1990,2090693,BCG vaccination received,52.6,1,NG,Nigeria,1990,NG1990DHS,CH_VACC_C_BCG,93906010,I,433002,1433002,Region,Northwest - 1990,0,,0,1,CHVACCCBCG,NGDHS1990433002,1990,DHS,373,302,,,1
NGA,Southeast - 1990,2096704,BCG vaccination received,72.7,1,NG,Nigeria,1990,NG1990DHS,CH_VACC_C_BCG,93906010,I,433003,1433003,Region,Southeast - 1990,0,,0,1,CHVACCCBCG,NGDHS1990433003,1990,DHS,408,340,,,1
NGA,Southwest - 1990,6019038,BCG vaccination received,81.6,1,NG,Nigeria,1990,NG1990DHS,CH_VACC_C_BCG,93906010,I,433004,1433004,Region,Southwest - 1990,0,,0,1,CHVACCCBCG,NGDHS1990433004,1990,DHS,240,333,,,1
NGA,Northeast - 1990,4803448,DPT 1 vaccination received,43.4,1,NG,Nigeria,1990,NG1990DHS,CH_VACC_C_DP1,93906020,I,433001,1433001,Region,Northeast - 1990,0,,0,1,CHVACCCDP1,NGDHS1990433001,1990,DHS,359,362,,,1
NGA,Northwest - 1990,2090686,DPT 1 vaccination received,55.5,1,NG,Nigeria,1990,NG1990DHS,CH_VACC_C_DP1,93906020,I,433002,1433002,Region,Northwest - 1990,0,,0,1,CHVACCCDP1,NGDHS1990433002,1990,DHS,373,302,,,1
NGA,Southeast - 1990,2096697,DPT 1 vaccination received,73.3,1,NG,Nigeria,1990,NG1990DHS,CH_VACC_C_DP1,93906020,I,433003,1433003,Region,Southeast - 1990,0,,0,1,CHVACCCDP1,NGDHS1990433003,1990,DHS,408,340,,,1
NGA,Southwest - 1990,6019025,DPT 1 vaccination received,84.1,1,NG,Nigeria,1990,NG1990DHS,CH_VACC_C_DP1,93906020,I,433004,1433004,Region,Southwest - 1990,0,,0,1,CHVACCCDP1,NGDHS1990433004,1990,DHS,240,333,,,1
NGA,Northeast - 1990,4803453,DPT 2 vaccination received,31.7,1,NG,Nigeria,1990,NG1990DHS,CH_VACC_C_DP2,93906030,I,433001,1433001,Region,Northeast - 1990,0,,0,1,CHVACCCDP2,NGDHS1990433001,1990,DHS,359,362,,,1
NGA,Northwest - 1990,2090715,DPT 2 vaccination received,35.1,1,NG,Nigeria,1990,NG1990DHS,CH_VACC_C_DP2,93906030,I,433002,1433002,Region,Northwest - 1990,0,,0,1,CHVACCCDP2,NGDHS1990433002,1990,DHS,373,302,,,1
